scale_name,url,notes,signature
A Chromatic Scale,https://pulse.berklee.edu/scales/a-chromatic-scale.html,A A# B B# C# D D# E E# F# F𝄪 G#,
Bb Chromatic Scale,https://pulse.berklee.edu/scales/b-flat-chromatic-scale.html,Bb B C C# D Eb E F F# G G# A,
B Chromatic Scale,https://pulse.berklee.edu/scales/b-chromatic-scale.html,B B# C# C𝄪 D# E E# F# F𝄪 G# G𝄪 A#,
C Chromatic Scale,https://pulse.berklee.edu/scales/c-chromatic-scale.html,C C# D D# E F F# G G# A A# B,
Db Chromatic Scale,https://pulse.berklee.edu/scales/d-flat-chromatic-scale.html,Db D Eb E F Gb G Ab A Bb B C,
D Chromatic Scale,https://pulse.berklee.edu/scales/d-chromatic-scale.html,D D# E E# F# G G# A A# B B# C#,
Eb Chromatic Scale,https://pulse.berklee.edu/scales/e-flat-chromatic-scale.html,Eb E F F# G Ab A Bb B C C# D,
E Chromatic Scale,https://pulse.berklee.edu/scales/e-chromatic-scale.html,E E# F# F𝄪 G# A A# B B# C# C𝄪 D#,
F Chromatic Scale,https://pulse.berklee.edu/scales/f-chromatic-scale.html,F F# G G# A Bb B C C# D D# E,
F# Chromatic Scale,https://pulse.berklee.edu/scales/f-sharp-chromatic-scale.html,F# F𝄪 G# G𝄪 A# B B# C# C𝄪 D# D𝄪 E#,
G Chromatic Scale,https://pulse.berklee.edu/scales/g-chromatic-scale.html,G G# A A# B C C# D D# E E# F#,
Ab Chromatic Scale,https://pulse.berklee.edu/scales/a-flat-chromatic-scale.html,Ab A Bb B C Db D Eb E F F# G,
