scale_name,url,notes,signature
A Diminished W-H Scale,https://pulse.berklee.edu/scales/a-diminished-w-h-scale.html,A B C D Eb E# F# G#,
Bb Diminished W-H Scale,https://pulse.berklee.edu/scales/b-flat-diminished-w-h-scale.html,Bb C Db Eb Fb F# G A,
B Diminished W-H Scale,https://pulse.berklee.edu/scales/b-diminished-w-h-scale.html,B C# D E F F𝄪 G# A#,
C Diminished W-H Scale,https://pulse.berklee.edu/scales/c-diminished-w-h-scale.html,C D Eb F Gb G# A B,
Db Diminished W-H Scale,https://pulse.berklee.edu/scales/d-flat-diminished-w-h-scale.html,Db Eb Fb Gb Abb A Bb C,
D Diminished W-H Scale,https://pulse.berklee.edu/scales/d-diminished-w-h-scale.html,D E F G Ab A# B C#,
Eb Diminished W-H Scale,https://pulse.berklee.edu/scales/e-flat-diminished-w-h-scale.html,Eb F Gb Ab Bbb B C D,
E Diminished W-H Scale,https://pulse.berklee.edu/scales/e-diminished-w-h-scale.html,E F# G A Bb B# C# D#,
F Diminished W-H Scale,https://pulse.berklee.edu/scales/f-diminished-w-h-scale.html,F G Ab Bb Cb C# D E,
F# Diminished W-H Scale,https://pulse.berklee.edu/scales/f-sharp-diminished-w-h-scale.html,F# G# A B C C𝄪 D# E#,
G Diminished W-H Scale,https://pulse.berklee.edu/scales/g-diminished-w-h-scale.html,G A Bb C Db D# E F#,
Ab Diminished W-H Scale,https://pulse.berklee.edu/scales/a-flat-diminished-w-h-scale.html,Ab Bb Cb Db Ebb E F G,
A Diminished H-WScale,https://pulse.berklee.edu/scales/a-diminished-h-w-scale.html,A Bb B# C# D# E F# G,
Bb Diminished H-WScale,https://pulse.berklee.edu/scales/b-flat-diminished-h-w-scale.html,Bb Cb C# D E F G Ab,
B Diminished H-WScale,https://pulse.berklee.edu/scales/b-diminished-h-w-scale.html,B C C𝄪 D# E# F# G# A,
C Diminished H-WScale,https://pulse.berklee.edu/scales/c-diminished-h-w-scale.html,C Db D# E F# G A Bb,
Db Diminished H-WScale,https://pulse.berklee.edu/scales/d-flat-diminished-h-w-scale.html,Db Ebb E F G Ab Bb Cb,
D Diminished H-WScale,https://pulse.berklee.edu/scales/d-diminished-h-w-scale.html,D Eb E# F# G# A B C,
Eb Diminished H-WScale,https://pulse.berklee.edu/scales/e-flat-diminished-h-w-scale.html,Eb Fb F# G A Bb C Db,
E Diminished H-WScale,https://pulse.berklee.edu/scales/e-diminished-h-w-scale.html,E F F𝄪 G# A# B C# D,
F Diminished H-WScale,https://pulse.berklee.edu/scales/f-diminished-h-w-scale.html,F Gb G# A B C D Eb,
F# Diminished H-WScale,https://pulse.berklee.edu/scales/f-sharp-diminished-h-w-scale.html,F# G G𝄪 A# B# C# D# E,
G Diminished H-WScale,https://pulse.berklee.edu/scales/g-diminished-h-w-scale.html,G Ab A# B C# D E F,
Ab Diminished H-WScale,https://pulse.berklee.edu/scales/a-flat-diminished-h-w-scale.html,Ab Bbb B C D Eb F Gb,
