scale_name,url,notes,signature
A Major Scale,https://pulse.berklee.edu/scales/a-major-scale.html,A B C# D E F# G#,3 sharps
Bb Major Scale,https://pulse.berklee.edu/scales/b-flat-major-scale.html,Bb C D Eb F G A,2 flats
B Major Scale,https://pulse.berklee.edu/scales/b-major-scale.html,B C# D# E F# G# A#,5 sharps
C Major Scale,https://pulse.berklee.edu/scales/c-major-scale.html,C D E F G A B,0 flats or sharps
Db Major Scale,https://pulse.berklee.edu/scales/d-flat-major-scale.html,Db Eb F Gb Ab Bb C,5 flats
D Major Scale,https://pulse.berklee.edu/scales/d-major-scale.html,D E F# G A B C#,2 sharps
Eb Major Scale,https://pulse.berklee.edu/scales/e-flat-major-scale.html,Eb F G Ab Bb C D,3 flats
E Major Scale,https://pulse.berklee.edu/scales/e-major-scale.html,E F# G# A B C# D#,4 sharps
F Major Scale,https://pulse.berklee.edu/scales/f-major-scale.html,F G A Bb C D E,1 flat
F# Major Scale,https://pulse.berklee.edu/scales/f-sharp-major-scale.html,F# G# A# B C# D# E#,6 sharps
G Major Scale,https://pulse.berklee.edu/scales/g-major-scale.html,G A B C D E F#,1 sharp
Ab Major Scale,https://pulse.berklee.edu/scales/a-flat-major-scale.html,Ab Bb C Db Eb F G,4 flats
