scale_name,url,notes,signature
A Ionian,https://pulse.berklee.edu/scales/a-ionian-scale.html,A B C# D E F# G#,3 sharps
Bb Ionian,https://pulse.berklee.edu/scales/b-flat-ionian-scale.html,Bb C D Eb F G A,2 flats
B Ionian,https://pulse.berklee.edu/scales/b-ionian-scale.html,B C# D# E F# G# A#,5 sharps
C Ionian,https://pulse.berklee.edu/scales/c-ionian-scale.html,C D E F G A B,0 flats or sharps
Db Ionian,https://pulse.berklee.edu/scales/d-flat-ionian-scale.html,Db Eb F Gb Ab Bb C,5 flats
D Ionian,https://pulse.berklee.edu/scales/d-ionian-scale.html,D E F# G A B C#,2 sharps
Eb Ionian,https://pulse.berklee.edu/scales/e-flat-ionian-scale.html,Eb F G Ab Bb C D,3 flats
E Ionian,https://pulse.berklee.edu/scales/e-ionian-scale.html,E F# G# A B C# D#,4 sharps
F Ionian,https://pulse.berklee.edu/scales/f-ionian-scale.html,F G A Bb C D E,1 flat
F# Ionian,https://pulse.berklee.edu/scales/f-sharp-ionian-scale.html,F# G# A# B C# D# E#,6 sharps
G Ionian,https://pulse.berklee.edu/scales/g-ionian-scale.html,G A B C D E F#,1 sharp
Ab Ionian,https://pulse.berklee.edu/scales/a-flat-ionian-scale.html,Ab Bb C Db Eb F G,4 flats
A Dorian,https://pulse.berklee.edu/scales/a-dorian-scale.html,A B C D E F# G,1 sharp
Bb Dorian,https://pulse.berklee.edu/scales/b-flat-dorian-scale.html,Bb C Db Eb F G Ab,4 flats
B Dorian,https://pulse.berklee.edu/scales/b-dorian-scale.html,B C# D E F# G# A,3 sharps
C Dorian,https://pulse.berklee.edu/scales/c-dorian-scale.html,C D Eb F G A Bb,2 flats
C# Dorian,https://pulse.berklee.edu/scales/c-sharp-dorian-scale.html,C# D# E F# G# A# B,5 sharps
D Dorian,https://pulse.berklee.edu/scales/d-dorian-scale.html,D E F G A B C,0 flats or sharps
Eb Dorian,https://pulse.berklee.edu/scales/e-flat-dorian-scale.html,Eb F Gb Ab Bb C Db,5 flats
E Dorian,https://pulse.berklee.edu/scales/e-dorian-scale.html,E F# G A B C# D,2 sharps
F Dorian,https://pulse.berklee.edu/scales/f-dorian-scale.html,F G Ab Bb C D Eb,3 flats
F# Dorian,https://pulse.berklee.edu/scales/f-sharp-dorian-scale.html,F# G# A B C# D# E,4 sharps
G Dorian,https://pulse.berklee.edu/scales/g-dorian-scale.html,G A Bb C D E F,1 flat
G# Dorian,https://pulse.berklee.edu/scales/g-sharp-dorian-scale.html,G# A# B C# D# E# F#,6 sharps
A Phrygian,https://pulse.berklee.edu/scales/a-phrygian-scale.html,A Bb C D E F G,1 flat
A# Phrygian,https://pulse.berklee.edu/scales/a-sharp-phrygian-scale.html,A# B C# D# E# F# G#,6 sharps
B Phrygian,https://pulse.berklee.edu/scales/b-phrygian-scale.html,B C D E F# G A,1 sharp
C Phrygian,https://pulse.berklee.edu/scales/c-phrygian-scale.html,C Db Eb F G Ab Bb,4 flats
C# Phrygian,https://pulse.berklee.edu/scales/c-sharp-phrygian-scale.html,C# D E F# G# A B,3 sharps
D Phrygian,https://pulse.berklee.edu/scales/d-phrygian-scale.html,D Eb F G A Bb C,2 flats
D# Phrygian,https://pulse.berklee.edu/scales/d-sharp-phrygian-scale.html,D# E F# G# A# B C#,5 sharps
E Phrygian,https://pulse.berklee.edu/scales/e-phrygian-scale.html,E F G A B C D,0 flats or sharps
