scale_name,url,notes,signature
A Whole ToneScale,https://pulse.berklee.edu/scales/a-whole-tone-scale.html,A B C# D# E# F𝄪,
Bb Whole ToneScale,https://pulse.berklee.edu/scales/b-flat-whole-tone-scale.html,Bb C D E F# G#,
B Whole ToneScale,https://pulse.berklee.edu/scales/b-whole-tone-scale.html,B C# D# E# F𝄪 G𝄪,
C Whole ToneScale,https://pulse.berklee.edu/scales/c-whole-tone-scale.html,C D E F# G# A#,
Db Whole ToneScale,https://pulse.berklee.edu/scales/d-flat-whole-tone-scale.html,Db Eb F G A B,
D Whole ToneScale,https://pulse.berklee.edu/scales/d-whole-tone-scale.html,D E F# G# A# B#,
Eb Whole ToneScale,https://pulse.berklee.edu/scales/e-flat-whole-tone-scale.html,Eb F G A B C#,
E Whole ToneScale,https://pulse.berklee.edu/scales/e-whole-tone-scale.html,E F# G# A# B# C𝄪,
F Whole ToneScale,https://pulse.berklee.edu/scales/f-whole-tone-scale.html,F G A B C# D#,
F# Whole ToneScale,https://pulse.berklee.edu/scales/f-sharp-whole-tone-scale.html,F# G# A# B# C𝄪 D𝄪,
G Whole ToneScale,https://pulse.berklee.edu/scales/g-whole-tone-scale.html,G A B C# D# E#,
Ab Whole ToneScale,https://pulse.berklee.edu/scales/a-flat-whole-tone-scale.html,Ab Bb C D E F#,
